recording,sweep_number,local_sweep,current_injection,spike_count,condition,path,timestamp,ap_peak_voltage,ap_peak_time,ahp_peak,ahp_peak_time,half_voltage,half_width,ap_amplitude,ahp_amplitude,sweep_threshold,ap_threshold,first_crossing,second_crossing,ap_count
2025_05_06_0006,11,11,120.0,5,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0008_Steps_300.abf,0.27740000000000004,-11.78183,0.27740000000000004,-63.478607,0.2791,-30.258698,0.5,36.953735,14.743042,-31.17273712158203,-48.735565,0.2772,0.2777,1.0
2025_05_06_0006,11,11,120.0,5,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0008_Steps_300.abf,0.34650000000000003,-11.507172,0.34650000000000003,-62.593597,0.3482,-29.60028,0.5,36.18622,14.9002075,-31.17273712158203,-47.69339,0.3463,0.3468,2.0
2025_05_06_0006,11,11,120.0,5,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0008_Steps_300.abf,0.5489,-10.805267,0.5489,-63.020844,0.5506,-29.295105,0.10000000000002274,36.979675,15.235901,-31.17273712158203,-47.784943,0.5486,0.5487000000000001,3.0
2025_05_06_0006,11,11,120.0,5,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0008_Steps_300.abf,1.2159,-11.201996,1.2159,-63.356537,1.2176,-29.662842,0.5,36.92169,15.232849,-31.17273712158203,-48.123688,1.2157,1.2162,4.0
2025_05_06_0006,11,11,120.0,5,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0008_Steps_300.abf,1.2466000000000002,-11.690277,1.2466000000000002,-85.5123,1.2956,-30.927795,0.5000000000002274,38.475037,35.346985,-31.17273712158203,-50.165314,1.2464,1.2469000000000001,5.0
2025_05_06_0006,12,12,140.0,26,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0008_Steps_300.abf,0.2664,-13.277191,0.2664,-62.257904,0.268,-33.398193,0.5,40.242004,8.7387085,-31.22785186767578,-53.519196,0.2662,0.2667,1.0
2025_05_06_0006,12,12,140.0,26,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0008_Steps_300.abf,0.29710000000000003,-10.683197,0.29710000000000003,-61.861176,0.2987,-28.104156,0.5,34.84192,16.33606,-31.22785186767578,-45.525116,0.2968,0.2973,2.0
2025_05_06_0006,12,12,140.0,26,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0008_Steps_300.abf,0.31970000000000004,-11.415619,0.31970000000000004,-60.854095,0.32130000000000003,-30.057281,0.0999999999999659,37.283325,12.155151,-31.22785186767578,-48.698944,0.3194,0.3195,3.0
2025_05_06_0006,12,12,140.0,26,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0008_Steps_300.abf,0.3542,-10.713715,0.3542,-61.342377,0.3559,-28.291077,0.5,35.154724,15.473938,-31.22785186767578,-45.86844,0.3539,0.3544,4.0
2025_05_06_0006,12,12,140.0,26,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0008_Steps_300.abf,0.378,-10.8663025,0.378,-61.372894,0.3796,-29.60028,0.0999999999999659,37.467957,13.038635,-31.22785186767578,-48.33426,0.37770000000000004,0.3778,5.0
2025_05_06_0006,12,12,140.0,26,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0008_Steps_300.abf,0.40790000000000004,-9.523529,0.40790000000000004,-61.43393,0.40950000000000003,-27.724976,0.0999999999999659,36.402893,15.507507,-31.22785186767578,-45.926422,0.4076,0.4077,6.0
2025_05_06_0006,12,12,140.0,26,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0008_Steps_300.abf,0.4277,-9.523529,0.40790000000000004,-61.43393,0.40950000000000003,-25.616203,0.4000000000000341,32.18535,19.725052,-31.22785186767578,-41.708878,0.4077,0.4081,7.0
