recording,sweep_number,local_sweep,current_injection,spike_count,condition,path,timestamp,ap_peak_voltage,ap_peak_time,ahp_peak,ahp_peak_time,half_voltage,half_width,ap_amplitude,ahp_amplitude,sweep_threshold,ap_threshold,first_crossing,second_crossing,ap_count,n_aps_averaged
2025_05_06_0006,20,20,300.0,119.0,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0008_Steps_300.abf,0.25670000000000004,-6.807464599609375,0.25670000000000004,-53.70280965169271,0.2581,-27.39664262897294,0.6602150537634391,46.27176933333334,6.9536824094115985,-23.696292877197266,-46.74912724228111,0.2563903225806452,0.25704838709677424,1.0,3
2025_05_06_0012,21,0,320.0,88.0,Condition 2,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 2/2025_05_06_0015_Steps_400.abf,[0.2532],6.762685141927084,0.2532,-45.22909533203125,0.2554,-19.855255,1.3989247311827862,67.9657,-0.43373626597093,-21.32889938354492,-45.662831598002185,0.2528,0.25392580645161283,1.0,3
2025_05_06_0021,23,2,360.0,160.0,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0024_Steps_400.abf,[0.251],-0.33773803515625,0.251,-67.15088798828124,0.252,-30.489105499999997,0.45949820788528567,61.889649999999996,15.934063914125696,-32.920005798339844,-51.21682540748889,0.25081935483870965,0.25131827956989244,1.0,3
2025_05_06_0034,21,0,320.0,94.0,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0036_Steps_400.abf,[0.2551],2.4190165231770835,0.2551,-64.16016671223959,0.2561,-23.79479111460924,0.4293906810035793,56.80237,16.91903128243432,-30.255970001220703,-47.24113542980526,0.2549,0.2553,1.0,3
2025_05_08_0023,25,4,400.0,63.0,Condition 2,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 2/2025_05_08_0026_Steps_400.abf,[0.2613],23.984771563802084,0.2613,-54.21143609765625,0.2637,-11.082867132335878,0.9906810035842003,79.36096,9.43780553098573,-25.485042572021484,-44.77363056667051,0.261,0.26185698924731177,1.0,3
2025_05_08_0036,21,0,320.0,134.0,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_08_0038_Steps_400.abf,[0.2545],7.790110365885416,0.2545,-67.79175817057292,0.2555,-25.440734499999998,0.4806451612903347,68.76068,14.011640952050195,-32.88605499267578,-53.78011721852272,0.25425806451612903,0.254741935483871,1.0,3
2025_05_08_0046,25,4,400.0,75.0,Condition 2,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 2/2025_05_08_0048_Steps_400.abf,[0.2562],10.597727501302083,0.2562,-35.83985381119792,0.258,-8.995301301484233,0.9584229390680968,49.644466,8.473813065243837,-5.8876495361328125,-27.36604074595408,0.25587096774193546,0.25667526881720426,1.0,3
2025_05_08_0051,15,15,200.0,69.0,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_08_0053_Steps_300.abf,[0.2524],-4.60002644140625,0.2524,-57.16146908203125,0.254,-23.999918899851767,0.6910394265233025,44.276424,14.564060514784224,-21.8232421875,-42.59740856724703,0.25206451612903225,0.2527354838709677,1.0,3
2025_05_08_0057,25,4,400.0,86.0,Condition 2,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 2/2025_05_08_0060_Steps_400.abf,[0.257],26.853424173177086,0.257,-46.714283873697916,0.2599,-8.719581762581171,1.7810035842293719,78.26538,6.793341321133049,-18.648082733154297,-39.92094255256487,0.2564666666666667,0.25801505376344086,1.0,3
2025_06_03_0005,18,18,260.0,23.0,Condition 2,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 2/2025_06_03_0006_Steps_300.abf,[0.2579],26.131174782552083,0.2579,-59.33838845703125,0.2596,-12.645896588187938,0.8487455197132935,86.71265,8.561016016257513,-34.88839340209961,-50.77737244077374,0.257641935483871,0.25842688172043016,1.0,3
