recording,sweep_number,local_sweep,current_injection,spike_count,condition,path,timestamp,ap_peak_voltage,ap_peak_time,ahp_peak,ahp_peak_time,half_voltage,half_width,ap_amplitude,ahp_amplitude,sweep_threshold,ap_threshold,first_crossing,second_crossing,ap_count
2025_05_06_0006,12,12,140.0,26.0,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0008_Steps_300.abf,[0.2664],-13.277191,0.2664,-62.257904,0.268,-33.398193500000005,0.5000000000000004,40.242004,8.7387085,-31.22785186767578,-53.519196,0.2662,0.2667,1.0
2025_05_06_0006,12,12,140.0,26.0,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0008_Steps_300.abf,0.29710000000000003,-10.683197021484375,0.29710000000000003,-61.861175537109375,0.2988,-27.005853839441485,0.5376344086021612,40.242004,18.53266487971078,-31.22785186767578,-43.328510657398596,0.296841935483871,0.29737956989247316,1.0
2025_05_06_0006,12,12,140.0,26.0,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0008_Steps_300.abf,0.31970000000000004,-11.415618896484375,0.31970000000000004,-54.201263427734375,0.32970000000000005,-29.368663430339453,0.5806451612903052,40.242004,6.879555463539845,-31.22785186767578,-47.32170796419453,0.3194204301075269,0.3200010752688172,1.0
2025_05_06_0006,19,19,280.0,110.0,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0008_Steps_300.abf,0.25720000000000004,-7.417816162109375,0.25720000000000004,-55.055755615234375,0.25880000000000003,-28.137710417159873,0.6236559139785047,46.82312,6.198150943024004,-24.995132446289062,-48.85760467221037,0.2568989247311828,0.2575225806451613,1.0
2025_05_06_0006,19,19,280.0,110.0,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0008_Steps_300.abf,0.2622,-6.288665771484375,0.2622,-54.536956787109375,0.26380000000000003,-24.617669963220493,0.6548387096774189,46.82312,11.590282632152764,-24.995132446289062,-42.94667415495661,0.2619064516129032,0.26256129032258063,1.0
2025_05_06_0006,19,19,280.0,110.0,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0008_Steps_300.abf,[0.2572],-5.678314,0.268,-54.231781005859375,0.2696,-24.33160698874211,0.6193548387096737,46.82312,11.246881028375157,-24.995132446289062,-42.98489997748422,0.2677483870967742,0.26836774193548385,1.0
2025_05_06_0006,20,20,300.0,119.0,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0008_Steps_300.abf,0.25670000000000004,-7.143157958984375,0.25670000000000004,-53.224700927734375,0.2581,-27.39664262897294,0.6580645161290422,45.996094,5.5745736287728676,-23.696292877197266,-47.65012729896151,0.2563903225806452,0.25704838709677424,1.0
2025_05_06_0006,20,20,300.0,119.0,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0008_Steps_300.abf,0.2611,-5.861419677734375,0.2611,-52.827972412109375,0.26280000000000003,-24.800534716702913,0.6989247311827707,45.996094,9.088322656437924,-23.696292877197266,-43.73964975567145,0.2608204301075269,0.2615193548387097,1.0
2025_05_06_0006,20,20,300.0,119.0,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0008_Steps_300.abf,[0.2567],-5.6477966,0.2665,-52.49228,0.2682,-28.6458433,0.8548387096773968,45.996094,0.8483887,-23.696292877197266,-51.64389,0.2661580645161291,0.2670129032258065,1.0
2025_05_06_0012,21,0,320.0,88.0,Condition 2,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 2/2025_05_06_0015_Steps_400.abf,[0.2532],14.127594,0.2532,-48.128265,0.2554,-19.855255,1.1258064516128097,67.9657,-5.709839,-21.32889938354492,-53.838104,0.2528,0.25392580645161283,1.0
2025_05_06_0012,21,0,320.0,88.0,Condition 2,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 2/2025_05_06_0015_Steps_400.abf,0.2577,3.660064697265625,0.2577,-43.855804443359375,0.2606,-19.53698792636171,1.4000000000000123,67.9657,1.1217638933703284,-21.32889938354492,-42.73404054998905,0.2571774193548387,0.2585774193548387,1.0
2025_05_06_0012,21,0,320.0,88.0,Condition 2,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 2/2025_05_06_0015_Steps_400.abf,0.2635,2.500396728515625,0.2635,-43.703216552734375,0.2675,-18.957976757750934,1.6709677419355362,67.9657,3.2868663087168812,-21.32889938354492,-40.416350244017494,0.2628290322580645,0.2645,1.0
2025_05_06_0021,23,2,360.0,160.0,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0024_Steps_400.abf,[0.251],0.455719,0.251,-67.8121,0.252,-30.489105499999997,0.4989247311827927,61.88965,6.378174,-32.920005798339844,-61.43393,0.25081935483870965,0.25131827956989244,1.0
2025_05_06_0021,23,2,360.0,160.0,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0024_Steps_400.abf,0.25570000000000004,-1.131195068359375,0.25570000000000004,-66.95761108398438,0.2566,-25.838440532135607,0.45913978494621643,61.88965,16.411925088072536,-32.920005798339844,-50.54568599591184,0.255441935483871,0.2559010752688172,1.0
2025_05_06_0021,23,2,360.0,160.0,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0024_Steps_400.abf,0.2606,-0.337738037109375,0.2606,-66.68295288085938,0.2617,-21.0042991318321,0.42043010752684795,61.88965,25.012092654304553,-32.920005798339844,-41.67086022655482,0.2604172043010753,0.26083763440860214,1.0
2025_05_06_0034,21,0,320.0,94.0,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0036_Steps_400.abf,[0.2551],3.1107483,0.2551,-65.21811,0.2561,-23.79479111460924,0.40000000000001146,56.80237,14.51777947078152,-30.255970001220703,-50.700330529218476,0.2549,0.2553,1.0
2025_05_06_0034,21,0,320.0,94.0,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0036_Steps_400.abf,0.2624,2.805572509765625,0.2624,-63.966888427734375,0.2634,-21.362081166860207,0.43870967741932443,56.80237,18.437153584248335,-30.255970001220703,-45.52973484348604,0.26221075268817207,0.2626494623655914,1.0
2025_05_06_0034,21,0,320.0,94.0,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0036_Steps_400.abf,0.2707,1.340728759765625,0.2707,-63.295501708984375,0.2717,-22.07630607847282,0.44946236559140207,56.80237,17.802160792273114,-30.255970001220703,-45.49334091671126,0.27054408602150537,0.27099354838709677,1.0
2025_05_08_0023,25,4,400.0,63.0,Condition 2,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 2/2025_05_08_0026_Steps_400.abf,[0.2613],26.822906,0.2613,-60.701508,0.2637,-11.082867132335878,0.8569892473117569,79.36096,11.712867735328238,-25.485042572021484,-48.98864026467176,0.261,0.26185698924731177,1.0
2025_05_08_0023,25,4,400.0,63.0,Condition 2,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 2/2025_05_08_0026_Steps_400.abf,0.2738,23.588043212890625,0.2738,-52.553314208984375,0.2772,-10.474421307642736,1.0161290322580618,79.36096,8.016428380808279,-25.485042572021484,-44.536885828176096,0.2734537634408602,0.27446989247311826,1.0
2025_05_08_0023,25,4,400.0,63.0,Condition 2,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 2/2025_05_08_0026_Steps_400.abf,0.2936,21.543365478515625,0.2936,-49.379486083984375,0.29810000000000003,-9.626000064324039,1.098924731182782,79.36096,8.584120476820672,-25.485042572021484,-40.7953656071637,0.29318602150537637,0.29428494623655915,1.0
2025_05_08_0036,21,0,320.0,134.0,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_08_0038_Steps_400.abf,[0.2545],8.939606,0.2545,-68.544525,0.2555,-25.440734499999998,0.4838709677419395,68.76068,8.72345,-32.88605499267578,-59.821075,0.25425806451612903,0.254741935483871,1.0
2025_05_08_0036,21,0,320.0,134.0,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_08_0038_Steps_400.abf,0.2596,7.016998291015625,0.2596,-67.62899780273438,0.2607,-21.9956027888462,0.4838709677419395,68.76068,16.620793934026352,-32.88605499267578,-51.00820386870802,0.259416129032258,0.25989999999999996,1.0
2025_05_08_0036,21,0,320.0,134.0,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_08_0038_Steps_400.abf,0.2651,7.413726806640625,0.2651,-67.20175170898438,0.2662,-21.548672990109758,0.47419354838712513,68.76068,16.690678922124235,-32.88605499267578,-50.51107278686014,0.26491612903225803,0.26539032258064515,1.0
